conf_abbr	date	game_location	game_result	game_streak	losses	notes	opp_name	opp_points	points	school_name	ties	time_game	wins
Western	1929-10-12	@	L	L 1	1		Purdue	30	16	Michigan	0		3
Western	1929-10-19		L	L 2	2		Ohio State	7	0	Michigan	0		3
Western	1929-10-26	@	L	L 3	3		Illinois	14	0	Michigan	0		3
Ind	1929-11-09		W	W 1	3		Harvard	12	14	Michigan	0		4
Western	1929-11-16	@	W	W 2	3		Minnesota	6	7	Michigan	0		5
Western	1929-11-23		T	T 1	3		Iowa	0	0	Michigan	1		5
Non-Major	1930-09-26		W	W 1	0		Denison	0	33	Michigan	0		1
Non-Major	1930-09-27		W	W 2	0		Eastern Michigan	0	7	Michigan	0		2
Ind	1930-10-04		T	T 1	0		Michigan State	0	0	Michigan	1		2
Western	1930-10-11		W	W 1	0		Purdue	13	14	Michigan	1		3
Western	1930-10-18	@	W	W 2	0		Ohio State	0	13	Michigan	1		4
Western	1930-10-25		W	W 3	0		Illinois	7	15	Michigan	1		5
Ind	1930-11-08	@	W	W 4	0		Harvard	3	6	Michigan	1		6
Western	1930-11-15		W	W 5	0		Minnesota	0	7	Michigan	1		7
Western	1930-11-22		W	W 6	0		Chicago	0	16	Michigan	1		8
